Store,Date,Weekly_Sales,Weekly_Sales_Real,Year,Month,Week,Quarter,DayOfWeek,Month_sin,Month_cos,Holiday_Flag,Peak_Season_Flag,Weekly_Sales_Real_lag1,Weekly_Sales_Real_lag2,Weekly_Sales_Real_lag4,Weekly_Sales_Real_rollmean4,Weekly_Sales_Real_rollmean8,Weekly_Sales_Real_rollstd8,Temperature_lag1,Fuel_Price_lag1,Unemployment_lag1,CPI_lag1,Temperature_roll8,Fuel_Price_roll8,Unemployment_roll8,Store_avg_to_date,Momentum_8w,Target
1,2011-02-04,1606629.58,1270552.0874410693,2011,2,5,1,4,0.8660254037844386,0.5000000000000001,0,0,1043243.117900464,1053401.922700854,1148801.4312953863,1087814.3606213075,1272320.800726471,299503.1378464928,43.83,3.01,7.742,212.1970577,46.05875,2.94075,7.79,1204743.577119282,1.0052284695468947,1302279.9853335293
1,2011-02-11,1649614.93,1302279.9853335293,2011,2,6,1,4,0.8660254037844386,0.5000000000000001,1,0,1270552.0874410693,1043243.117900464,1105810.970588526,1118252.0246577284,1263943.5968360195,298352.4267340599,42.27,2.989,7.742,212.5668812,45.551249999999996,2.959,7.7780000000000005,1205985.2471253532,1.0512699785319506,1329726.0887320843
1,2011-02-18,1686842.78,1329726.0887320843,2011,2,7,1,4,0.8660254037844386,0.5000000000000001,0,0,1302279.9853335293,1270552.0874410693,1053401.922700854,1167369.2783439793,1238768.3582024311,283353.4088145395,36.39,3.022,7.742,212.9367046,43.870000000000005,2.978125,7.766,1207768.4830180975,1.1388223778796622,1146837.8671055783
1,2011-02-25,1456800.28,1146837.8671055783,2011,2,8,1,4,0.8660254037844386,0.5000000000000001,0,0,1329726.0887320843,1302279.9853335293,1043243.117900464,1236450.3198517868,1167632.5602310868,115978.28731772721,57.36,3.045,7.742,213.2478853,44.49875,2.998,7.754,1209985.894031079,0.9759643800351162,1286383.4398814954
1,2011-03-04,1636263.41,1286383.4398814954,2011,3,9,1,4,1.0,6.123233995736766e-17,0,0,1146837.8671055783,1329726.0887320843,1270552.0874410693,1262349.0071530654,1175081.6838871865,111920.29443364333,62.9,3.065,7.742,213.535609,46.307500000000005,3.0132499999999998,7.742,1208858.2506931236,1.078927810177458,1219433.8976419843
1,2011-03-11,1553191.63,1219433.8976419843,2011,3,10,1,4,1.0,6.123233995736766e-17,0,0,1286383.4398814954,1146837.8671055783,1302279.9853335293,1266306.845263172,1192279.43496045,117725.10001700584,59.58,3.288,7.742,213.8233327,47.72125,3.05225,7.742,1210218.3417315162,1.0107350077086183,1236530.0069062624
1,2011-03-18,1576818.06,1236530.0069062624,2011,3,11,1,4,1.0,6.123233995736766e-17,0,0,1219433.8976419843,1286383.4398814954,1329726.0887320843,1245595.3233402856,1206482.3008421324,112542.81251198701,53.56,3.459,7.742,214.1110564,49.99125,3.11175,7.742,1210377.230626524,1.0058214176867817,1207186.0639841894
1,2011-03-25,1541102.38,1207186.0639841894,2011,3,12,1,4,1.0,6.123233995736766e-17,0,0,1236530.0069062624,1219433.8976419843,1146837.8671055783,1222296.3028838302,1229373.3113678084,94065.68229662294,62.76,3.488,7.742,214.3627114,52.33125,3.17075,7.742,1210820.498021096,0.965852251753241,1169830.3983602617
1,2011-04-01,1495064.75,1169830.3983602617,2011,4,13,2,4,0.8660254037844387,-0.4999999999999998,0,0,1207186.0639841894,1236530.0069062624,1286383.4398814954,1237383.352103483,1249866.1796282742,59072.149506766946,69.97,3.473,7.742,214.5999389,55.598749999999995,3.228625,7.742,1210759.924120481,0.9454886606946301,1261702.3702282412
1,2011-04-08,1614259.35,1261702.3702282412,2011,4,14,2,4,0.8660254037844387,-0.4999999999999998,0,0,1169830.3983602617,1207186.0639841894,1219433.8976419843,1208245.0917231746,1237275.9684931731,64516.15977099859,59.17,3.524,7.682,214.8371664,57.71125,3.2954999999999997,7.7345,1210088.9482883462,1.0239397122640714,1217975.0995353442
