Store,Date,Weekly_Sales,Weekly_Sales_Real,Year,Month,Week,Quarter,DayOfWeek,Month_sin,Month_cos,Holiday_Flag,Peak_Season_Flag,Weekly_Sales_Real_lag1,Weekly_Sales_Real_lag2,Weekly_Sales_Real_lag4,Weekly_Sales_Real_rollmean4,Weekly_Sales_Real_rollmean8,Weekly_Sales_Real_rollstd8,Temperature_lag1,Fuel_Price_lag1,Unemployment_lag1,CPI_lag1,Temperature_roll8,Fuel_Price_roll8,Unemployment_roll8,Store_avg_to_date,Momentum_8w,Target
1,2/4/2011,1606629.58,1270552.08744107,2011,2,5,1,4,0.866025404,0.5,0,0,1043243.11790046,1053401.92270085,1148801.43129539,1087814.36062131,1272320.80072647,299503.137846493,43.83,3.01,7.742,212.1970577,46.05875,2.94075,7.79,1204743.57711928,1.005228470,1302279.98533353
1,2/11/2011,1649614.93,1302279.98533353,2011,2,6,1,4,0.866025404,0.5,1,0,1270552.08744107,1043243.11790046,1105810.97058853,1118252.02465773,1263943.59683602,298352.42673406,42.27,2.989,7.742,212.5668812,45.55125,2.959,7.778,1205985.24712535,1.051269979,1329726.08873208
1,2/18/2011,1686842.78,1329726.08873208,2011,2,7,1,4,0.866025404,0.5,0,0,1302279.98533353,1270552.08744107,1053401.92270085,1167369.27834398,1238768.35820243,283353.408814539,36.39,3.022,7.742,212.9367046,43.87,2.978125,7.766,1207768.4830181,1.138822378,1146837.86710558
1,2/25/2011,1456800.28,1146837.86710558,2011,2,8,1,4,0.866025404,0.5,0,0,1329726.08873208,1302279.98533353,1043243.11790046,1236450.31985179,1167632.56023109,115978.287317727,57.36,3.045,7.742,213.2478853,44.49875,2.998,7.754,1209985.89403108,0.975964380,1286383.4398815
1,3/4/2011,1636263.41,1286383.4398815,2011,3,9,1,4,1,6.123233996e-17,0,0,1146837.86710558,1329726.08873208,1270552.08744107,1262349.00715307,1175081.68388719,111920.294433643,62.9,3.065,7.742,213.535609,46.3075,3.01325,7.742,1208858.25069312,1.078927810,1219433.89764198
1,3/11/2011,1553191.63,1219433.89764198,2011,3,10,1,4,1,6.123233996e-17,0,0,1286383.4398815,1146837.86710558,1302279.98533353,1266306.84526317,1192279.43496045,117725.100017006,59.58,3.288,7.742,213.8233327,47.72125,3.05225,7.742,1210218.34173152,1.010735008,1236530.00690626
1,3/18/2011,1576818.06,1236530.00690626,2011,3,11,1,4,1,6.123233996e-17,0,0,1219433.89764198,1286383.4398815,1329726.08873208,1245595.32334029,1206482.30084213,112542.812511987,53.56,3.459,7.742,214.1110564,49.99125,3.11175,7.742,1210377.23062652,1.005821418,1207186.06398419
1,3/25/2011,1541102.38,1207186.06398419,2011,3,12,1,4,1,6.123233996e-17,0,0,1236530.00690626,1219433.89764198,1146837.86710558,1222296.30288383,1229373.31136781,94065.682296623,62.76,3.488,7.742,214.3627114,52.33125,3.17075,7.742,1210820.4980211,0.965852252,1169830.39836026
1,4/1/2011,1495064.75,1169830.39836026,2011,4,13,2,4,0.866025404,-0.5,0,0,1207186.06398419,1236530.00690626,1286383.4398815,1237383.35210348,1249866.17962827,59072.149506767,69.97,3.473,7.742,214.5999389,55.59875,3.228625,7.742,1210759.92412048,0.945488661,1261702.37022824
1,4/8/2011,1614259.35,1261702.37022824,2011,4,14,2,4,0.866025404,-0.5,0,0,1169830.39836026,1207186.06398419,1219433.89764198,1208245.09172317,1237275.96849317,64516.159770999,59.17,3.524,7.682,214.8371664,57.71125,3.2955,7.7345,1210088.94828835,1.023939712,1217975.09953534
1,4/15/2011,1559889,1217975.09953534,2011,4,15,2,4,0.866025404,-0.5,0,0,1261702.37022824,1169830.39836026,1236530.00690626,1218812.20986974,1232203.76660501,60120.893850363,67.84,3.622,7.682,215.0743939,61.6425,3.3705,7.727,1210921.42283576,0.999786746,1220872.14993243
1,4/22/2011,1564819.81,1220872.14993243,2011,4,16,2,4,0.866025404,-0.5,0,0,1217975.09953534,1261702.37022824,1207186.06398419,1214173.48302701,1218234.89295542,45406.842383663,71.27,3.743,7.682,215.2918561,63.38125,3.45775,7.7195,1211033.38595798,0.994609298,1134376.74596793
1,4/29/2011,1455090.69,1134376.74596793,2011,4,17,2,4,0.866025404,-0.5,0,0,1220872.14993243,1217975.09953534,1169830.39836026,1217595.00451407,1227489.17830878,35166.450716013,72.99,3.807,7.682,215.4599053,64.6425,3.5505,7.712,1211187.11664508,0.938674133,1269270.85074475
1,5/6/2011,1629391.28,1269270.85074475,2011,5,18,2,4,0.5,-0.866025404,0,0,1134376.74596793,1220872.14993243,1261702.37022824,1208731.59141599,1208488.34156958,39586.959302363,72.03,3.81,7.682,215.6279544,66.19875,3.61575,7.7045,1210005.41863466,1.044909923,1249122.85484021
1,5/13/2011,1604775.58,1249122.85484021,2011,5,19,2,4,0.5,-0.866025404,0,0,1269270.85074475,1134376.74596793,1217975.09953534,1210623.71154511,1214717.96070743,45093.766459810,64.61,3.906,7.682,215.7960035,67.58,3.671625,7.697,1210903.37972724,1.026992520,1112880.32662574
1,5/20/2011,1428218.27,1112880.32662574,2011,5,20,2,4,0.5,-0.866025404,0,0,1249122.85484021,1269270.85074475,1220872.14993243,1218410.65037133,1216292.06669917,46170.867930585,75.64,3.899,7.682,215.9640526,69.19,3.723,7.6895,1211473.8196543,0.923932561,1143576.45182984
1,5/27/2011,1466046.67,1143576.45182984,2011,5,21,2,4,0.5,-0.866025404,0,0,1112880.32662574,1249122.85484021,1134376.74596793,1191412.69454466,1204503.84952936,59066.083458002,67.63,3.907,7.682,215.7339202,68.8975,3.77725,7.682,1210023.91534506,0.952010828,1276791.59463995
1,6/3/2011,1635078.41,1276791.59463995,2011,6,22,2,4,1.224646799e-16,-1,0,0,1143576.45182984,1112880.32662574,1269270.85074475,1193712.62101014,1201222.10621306,61927.787862017,77.72,3.786,7.682,215.5037878,71.21625,3.81,7.682,1209060.90862744,1.061244144,1242097.5983002
